FedRoutingNR,Telegraphic Name,Customer Name,State,City,Eligible,Status,Last Change
021081189,AUSTRIA DES ACCT,OESTERREICHISCHE NATIONALBANK DES AC,NY,NEW YORK,Y,Y,20070108
021081202,IBRD TARBELA,IBRD TARBELA/FOREIGN DEPARTMENT,NY,NEW YORK,N,N,20021206
021081215,NBK INV PORT,NATIONAL BANK OF KAZAK INV PORT,NY,NEW YORK,Y,Y,20080404
021081228,CABO VERDE,BANCO DE CABO VERDE,NY,NEW YORK,Y,Y,20080807
021081231,ANGOLA,BANCO NACIONAL DE ANGOLA,NY,NEW YORK,Y,Y,20100726
021081244,PHILIP IP ACCT,CENTRAL BANK OF THE PHILIPINNES INV,NY,NEW YORK,N,N,20160520
021081260,AFDB MIC FUND,AFRICAN DEVBK MIC FUND,NY,NEW YORK,Y,Y,20150121
021081273,BEAC-GABON,BEAC-GABON DEBT INVESTMENT ACCOUNT,NY,NEW YORK,N,Y,20170921
021081286,SWAZILAND RAMP,CB SWAZILAND-RAMP ACCOUNT,NY,NEW YORK,Y,Y,20080616
021081299,RWANDA RAMP,BANQUE NATIONALE DU RWANDA RAMP,NY,NEW YORK,N,Y,20170323
021081309,BANK OF SLOVENIA,BANK OF SLOVENIA,NY,NEW YORK,Y,Y,20081010
021081341,BOE - NO. 2 ACCT,BANK OF ENGLAND-NO. 2 ACCOUNT,NY,NEW YORK,N,N,20160401
021081354,EUROCLEAR BANK,EUROCLEAR BANK ACCOUNT,NY,NEW YORK,Y,N,20081230
021081406,BOJ-OPS ACCT 1,BANK OF JAPAN - OPERATIONS ACCOUNT 1,NY,NEW YORK,Y,N,20080919
021081419,BOC - OPS ACCT 1,BANK OF CANADA-OPER ACCT 1,NY,NEW YORK,Y,N,20080925
021081422,NORGES OPS ACCT 1,NORGES BANK- OPERATIONS ACCOUNT 1,NY,NEW YORK,Y,Y,20081112
021081435,DANMARKS OPS ACCT1,DANMARKS NAT'LBANK-OPER ACCT 1,NY,NEW YORK,N,N,20160916
021081448,SVERIGES OPS ACCT1,SVERIGES RIKSBANK-OPER ACCOUNT 1,NY,NEW YORK,Y,Y,20110810
021081451,AUSSI OPS ACCT 1,RESERVE BK OF AUSTRALIA-OPER ACCT 1,NY,NEW YORK,Y,N,20080925
021081464,AFRICAN DEV.FUND,AFRICAN DEVELOPMENT FUND-GEN ACCOUNT,NY,NEW YORK,Y,Y,20150106
021081477,AFRICAN DB GL FUND,AFRICAN DEVELOPMENT BK FUND FOR GLR,NY,NEW YORK,Y,N,20150107
021081493,GEORGIA USAID ACCT,NATL BANK OF GEORGIA USAID ACCOUNT,NY,NEW YORK,Y,N,20081030
021081503,SINGAPORE OPS,SINGAPORE OPS ACCT 1,NY,NEW YORK,Y,N,20090501
021081516,KOREA OPS ACCT 1,BANK OF KOREA-OPERATIONS ACCOUNT 1,NY,NEW YORK,Y,N,20081125
021081529,ZAMBIA RAMP,BANK OF ZAMBIA-RAMP ACCOUNT,NY,NEW YORK,Y,Y,20081231
021081532,ECB SLOVAKIA,ECB ACCT SK  NATL BK OF SLOVAKIA,NY,NEW YORK,Y,Y,20081230
021081545,NZEALAND OPS ACCT1,NEW ZEALAND OPS ACCT1,NY,NEW YORK,N,N,20171002
021081558,AUSTRIA OPS ACCT 1,OESTERREICHISCHE NATLBANK OPS ACCT 1,NY,NEW YORK,Y,Y,20120417
021081561,BELGIUM OPS ACCT1,BANQUE NATL. DE BELGIQUE OPS ACCT 1,NY,NEW YORK,Y,Y,20120417
021081574,CYPRUS OPS ACCT1,CENTRAL BANK OF CYPRUS-OPS ACCT 1,NY,NEW YORK,Y,Y,20091105
021081587,FINLAND OPS ACCT1,SUOMEN PANKKI FINLANDS BK OPS ACCT 1,NY,NEW YORK,Y,Y,20120418
021081590,DLRP WASH,DLRP WASH ACCOUNT,NY,NEW YORK,N,Y,20141107
021081613,FRANCE OPS ACCT1,BANQUE DE FRANCE - OPS ACCT 1,NY,NEW YORK,Y,Y,20120418
021081626,GERMANY OPS ACCT1,DEUTSCHE BUNDESBANK OPER ACCT 1,NY,NEW YORK,Y,Y,20090320
021081639,GREECE OPS ACCT1,BANQUE DE GRECE OPS ACCT 1.,NY,NEW YORK,Y,Y,20141121
021081642,IRELAND OPS ACCT1,CENT BK OF IRELAND OPS ACCT 1,NY,NEW YORK,Y,Y,20100225
021081655,ITALY OPS ACCT 1,BANCA D'ITALIA OPS ACCT 1,NY,NEW YORK,Y,Y,20151023
021081668,LUXEMBOURG OPSACT1,CB LUXEMBOURG OPS ACCT 1,NY,NEW YORK,Y,Y,20120418
021081671,MALTA OPS ACCT 1,CENTRAL BANK OF MALTA OPS ACCT 1,NY,NEW YORK,Y,Y,20091105
021081684,NETHERLANDS OPS1,DE NEDERLANDSCHE BANK NV OPS ACCT 1,NY,NEW YORK,Y,Y,20120418
021081697,PORTUGAL OPS ACCT1,BANCO DE PORTUGAL OPS ACCT 1,NY,NEW YORK,Y,Y,20091105
021081723,SLOVENIA OPS ACCT1,BANK OF SLOVENIA OPS ACCT 1,NY,NEW YORK,Y,Y,20120418
